#,Outlet Name,Website,X / Twitter,Facebook,Instagram,TikTok,YouTube,LinkedIn
1,Kurir,[kurir.rs](https://www.kurir.rs),[X](https://x.com/kurirvesti),[FB](https://www.facebook.com/kuririnfo),[IG](https://www.instagram.com/kurir.rs),[TT](https://www.tiktok.com/@kurir.rs),[YT](https://www.youtube.com/@KurirTelevizija),[LI](https://www.linkedin.com/company/kurir)
2,Blic,[blic.rs](https://www.blic.rs),[X](https://x.com/blic_online),[FB](https://www.facebook.com/Blic.rs),[IG](https://www.instagram.com/blic.rs),[TT](https://www.tiktok.com/@blic.rs),[YT](https://www.youtube.com/@BlicOnline),[LI](https://www.linkedin.com/company/blic)
3,Telegraf,[telegraf.rs](https://www.telegraf.rs),[X](https://x.com/telegrafrs),[FB](https://www.facebook.com/telegraf.rs),[IG](https://www.instagram.com/telegraf.rs),[TT](https://www.tiktok.com/@telegraf.rs),[YT](https://www.youtube.com/@TelegrafTV),[LI](https://www.linkedin.com/company/telegraf)
4,Informer,[informer.rs](https://www.informer.rs),[X](https://x.com/informersrbija),[FB](https://www.facebook.com/Informer),[IG](https://www.instagram.com/informer.rs),[TT](https://www.tiktok.com/@informer.rs),[YT](https://www.youtube.com/@InformerTV),[LI](https://www.linkedin.com/company/informer)
5,RTS,[rts.rs](https://www.rts.rs),[X](https://x.com/rts_vesti),[FB](https://www.facebook.com/RadioTelevizijaSrbije),[IG](https://www.instagram.com/rts_srbija),[TT](https://www.tiktok.com/@rts_srbija),[YT](https://www.youtube.com/@RTSrs),[LI](https://www.linkedin.com/company/rts)
6,N1 Srbija,info.com]\(<https://rs.n1info.com>),[X](https://x.com/N1infoBG),[FB](https://www.facebook.com/N1Srbija),[IG](https://www.instagram.com/n1srbija),[TT](https://www.tiktok.com/@n1srbija),[YT](https://www.youtube.com/@N1Srbija),[LI](https://www.linkedin.com/company/n1-srbija)
7,Politika,[politika.rs](https://www.politika.rs),[X](https://x.com/politikaonline),[FB](https://www.facebook.com/politika.rs),[IG](https://www.instagram.com/politika_rs),,[YT](https://www.youtube.com/@PolitikaOnline),[LI](https://www.linkedin.com/company/politika)
8,Večernje Novosti,[novosti.rs](https://www.novosti.rs),[X](https://x.com/NovostiOnline),[FB](https://www.facebook.com/vecernjenovosti),[IG](https://www.instagram.com/vecernjenovosti),,[YT](https://www.youtube.com/@VecernjeNovosti),[LI](https://www.linkedin.com/company/vecernje-novosti)
9,Danas,[danas.rs](https://www.danas.rs),[X](https://x.com/danasnews),[FB](https://www.facebook.com/danasrs),[IG](https://www.instagram.com/danasdnevnik),,[YT](https://www.youtube.com/@danasrs),[LI](https://www.linkedin.com/company/danas)
10,B92,[b92.net](https://www.b92.net),[X](https://x.com/B92Vesti),[FB](https://www.facebook.com/B92),[IG](https://www.instagram.com/b92net),,[YT](https://www.youtube.com/@B92),[LI](https://www.linkedin.com/company/b92)
11,Nova.rs,[nova.rs](https://nova.rs),[X](https://x.com/NovaRS),[FB](https://www.facebook.com/novas),[IG](https://www.instagram.com/nova.rs),,[YT](https://www.youtube.com/@NovaS),[LI](https://www.linkedin.com/company/nova-s)
12,Beta,[beta.rs](https://www.beta.rs),[X](https://x.com/BetaNewsAgency),[FB](https://www.facebook.com/betars),,,[YT](https://www.youtube.com/@BetaNewsAgency),[LI](https://www.linkedin.com/company/beta-news-agency)
13,Tanjug,[tanjug.rs](https://www.tanjug.rs),[X](https://x.com/tanjug_news),[FB](https://www.facebook.com/TanjugNewsAgency),[IG](https://www.instagram.com/tanjug_news),,[YT](https://www.youtube.com/@Tanjug),[LI](https://www.linkedin.com/company/tanjug)
14,NIN,[nin.rs](https://www.nin.rs),[X](https://x.com/NINMagazin),[FB](https://www.facebook.com/NINMagazin),[IG](https://www.instagram.com/nin_magazin),,[YT](https://www.youtube.com/@NINMagazin),[LI](https://www.linkedin.com/company/nin)
